geneID,Gene_name,Chr,Start,End,Gene_length
FBgn0001169,H,3R,20621938,20628915,6977
FBgn0038816,Lrrk,3R,20635480,20644279,8799
FBgn0038819,Cpr92F,3R,20669571,20672821,3250
FBgn0051205,CG31205,3R,20731631,20732707,1076
FBgn0004107,Cdk2,3R,20735623,20738414,2791
FBgn0051200,CG31200,3R,20744234,20745338,1104
FBgn0051199,CG31199,3R,20742800,20743869,1069
FBgn0038821,CG17267,3R,20737325,20739100,1775
FBgn0024944,Oamb,3R,20689018,20714577,25559
FBgn0038820,CG4000,3R,20676224,20677351,1127
FBgn0038818,Nep4,3R,20652567,20659904,7337
FBgn0028422,GluRIID,3R,20648595,20652450,3855
FBgn0051201,GluRIIE,3R,20644154,20648716,4562
FBgn0015279,Pi3K92E,3R,20628972,20634732,5760
FBgn0038814,CG15923,3R,20611251,20616901,5650
FBgn0038811,Pus1,3R,20591024,20592671,1647
FBgn0014029,Septin2,3R,20586129,20588356,2227
FBgn0038809,CG16953,3R,20581770,20585833,4063
FBgn0023212,EloB,3R,20578222,20579850,1628
FBgn0038805,TFAM,3R,20575245,20577010,1765
FBgn0038804,CG10877,3R,20562486,20564067,1581
FBgn0040575,CG15922,3R,20559708,20560280,572
FBgn0038826,Syp,3R,20756729,20810726,53997
FBgn0019936,RpS20,3R,20822181,20823356,1175
FBgn0051223,CG31223,3R,20831127,20832455,1328
FBgn0053094,Synd,3R,20832799,20840118,7319
FBgn0038832,CG15695,3R,20842140,20844981,2841
FBgn0038833,CG15696,3R,20847068,20847748,680
FBgn0038834,RpS30,3R,20850516,20851427,911
FBgn0028396,TotA,3R,20871036,20871700,664
FBgn0044812,TotC,3R,20872988,20873580,592
FBgn0038838,TotB,3R,20873938,20874522,584
FBgn0038840,Grik,3R,20901956,20908263,6307
FBgn0038842,hdly,3R,20914296,20929213,14917
FBgn0051191,CG31191,3R,20909213,20945530,36317
FBgn0044810,TotX,3R,20904917,20905518,601
FBgn0038839,Ktl,3R,20894452,20897320,2868
FBgn0038837,KaiR1D,3R,20860187,20866231,6044
FBgn0027493,Adss,3R,20824667,20830580,5913
FBgn0038830,CG17272,3R,20823313,20824239,926
FBgn0038829,CG17271,3R,20819129,20821848,2719
FBgn0038828,CG17270,3R,20816445,20818929,2484
FBgn0038827,Fancd2,3R,20810804,20816190,5386
FBgn0051195,CG31195,3R,20757269,20762369,5100
FBgn0013995,Calx,3R,20978183,21015613,37430
FBgn0038846,CG5697,3R,21015949,21017120,1171
FBgn0026056,Rlip,3R,21017684,21020753,3069
FBgn0038847,CG12278,3R,21044068,21044905,837
FBgn0038851,dmrt93B,3R,21074007,21076798,2791
FBgn0038855,Tbc1d22,3R,21102199,21105113,2914
FBgn0028468,rtet,3R,21108446,21110834,2388
FBgn0015790,Rab11,3R,21111408,21116146,4738
FBgn0010770,ppan,3R,21116254,21117899,1645
FBgn0038858,CG5793,3R,21127573,21129601,2028
FBgn0038860,Ice2,3R,21130216,21132720,2504
FBgn0038862,Usp8,3R,21134262,21138214,3952
FBgn0038866,CG5810,3R,21163778,21165161,1383
FBgn0038865,cDIP,3R,21159238,21161092,1854
FBgn0038861,Trm7-34,3R,21132734,21133881,1147
FBgn0038857,Bdbt,3R,21117857,21118856,999
FBgn0038854,CG7044,3R,21098229,21101718,3489
FBgn0038853,RhoGAP93B,3R,21083043,21097827,14784
FBgn0003257,r-l,3R,21070557,21073319,2762
FBgn0025865,Cortactin,3R,21061680,21064471,2791
FBgn0038850,Jhbp15,3R,21050014,21050975,961
FBgn0038849,CG7079,3R,21047462,21048829,1367
FBgn0051207,CG31207,3R,21046032,21047027,995
FBgn0051189,CG31189,3R,21044898,21045842,944
FBgn0013812,Dhc93AB,3R,21024580,21042499,17919
FBgn0046763,peg,3R,21021044,21024163,3119
FBgn0038868,Ddrgk1,3R,21215079,21216226,1147
FBgn0038870,Oga,3R,21219077,21222843,3766
FBgn0038873,CG5892,3R,21242618,21245418,2800
FBgn0038874,ETHR,3R,21247011,21265134,18123
FBgn0038876,Idi,3R,21270126,21271408,1282
FBgn0001234,lncRNA:Hsromega,3R,21296127,21317836,21709
FBgn0002781,mod(mdg4),3R,21350846,21377401,26555
FBgn0004110,tin,3R,21378977,21381970,2993
FBgn0004862,bap,3R,21388880,21390449,1569
FBgn0038887,CG7907,3R,21403735,21406690,2955
FBgn0011278,lbe,3R,21441577,21446537,4960
FBgn0008651,lbl,3R,21409979,21434133,24154
FBgn0038881,aus,3R,21318300,21349601,31301
FBgn0038878,CG3301,3R,21274243,21276249,2006
FBgn0038877,CG3308,3R,21271078,21273817,2739
FBgn0043012,AP-2sigma,3R,21269209,21270075,866
FBgn0000527,e,3R,21229839,21237177,7338
FBgn0038871,CG3337,3R,21220704,21223584,2880
FBgn0038869,Smyd5,3R,21217268,21218791,1523
FBgn0038889,Fancm,3R,21482325,21487444,5119
FBgn0004863,C15,3R,21499986,21512814,12828
FBgn0038890,sp3,3R,21520928,21528598,7670
FBgn0038894,Jhbp16,3R,21664389,21666676,2287
FBgn0051176,CG31176,3R,21672303,21719660,47357
FBgn0011766,E2f1,3R,21620304,21660871,40567
FBgn0038892,CG15498,3R,21567519,21569149,1630
FBgn0002941,slou,3R,21548661,21557182,8521
FBgn0038897,CG5849,3R,21740105,21744431,4326
FBgn0051343,CG31343,3R,21745266,21749003,3737
FBgn0051233,CG31233,3R,21749853,21753237,3384
FBgn0051198,CG31198,3R,21754324,21757758,3434
FBgn0038902,CG6800,3R,21776138,21777213,1075
FBgn0041229,Gr93a,3R,21832503,21834013,1510
FBgn0051431,CG31431,3R,21870681,21873640,2959
FBgn0064912,CG31178,3R,21873739,21874922,1183
FBgn0038912,CG6656,3R,21875293,21877788,2495
FBgn0053092,P5CDh2,3R,21877936,21880696,2760
FBgn0051465,CG31465,3R,21880810,21883990,3180
FBgn0038917,CG6678,3R,21887029,21907182,20153
FBgn0038919,Qsox2,3R,21913747,21915546,1799
FBgn0038916,dnd,3R,21885676,21887355,1679
FBgn0038914,fit,3R,21883924,21884454,530
FBgn0051174,CG31174,3R,21868681,21869514,833
FBgn0038909,CG6569,3R,21866172,21867919,1747
FBgn0015229,glec,3R,21850694,21856266,5572
FBgn0045470,Gr93b,3R,21842521,21843765,1244
FBgn0013759,CASK,3R,21783400,21822674,39274
FBgn0003867,tsl,3R,21778114,21782536,4422
FBgn0038903,Polr1H,3R,21777203,21777847,644
FBgn0027575,GABA-B-R2,3R,21770333,21775840,5507
FBgn0038921,Theg,3R,22014697,22016212,1515
FBgn0038923,mRpL35,3R,22023527,22024341,814
FBgn0019957,ND-42,3R,22027709,22029393,1684
FBgn0038928,Fadd,3R,22034455,22035617,1162
FBgn0038929,CG13408,3R,22080382,22083473,3091
FBgn0040582,BomBc3,3R,22087075,22088501,1426
FBgn0038930,BomT3,3R,22085374,22086397,1023
FBgn0038927,CG6015,3R,22032150,22034286,2136
FBgn0038926,CG13409,3R,22029440,22031900,2460
FBgn0038925,Cchl,3R,22025975,22027480,1505
FBgn0038924,CG6028,3R,22024259,22025506,1247
FBgn0019960,Mitofilin,3R,22019505,22023335,3830
FBgn0038922,Idh3b,3R,22016391,22019382,2991
FBgn0051164,Ir94a,3R,22113427,22115214,1787
FBgn0051163,SKIP,3R,22133830,22296126,162296
FBgn0038934,Gld2,3R,22211824,22217415,5591
FBgn0038938,CG7084,3R,22298805,22304420,5615
FBgn0038946,rdhB,3R,22351696,22356264,4568
FBgn0038947,Sar1,3R,22356685,22360711,4026
FBgn0260467,CG7071,3R,22362620,22364580,1960
FBgn0038952,CG7069,3R,22372835,22375579,2744
FBgn0038953,CG18596,3R,22375923,22379955,4032
FBgn0038957,CG7059,3R,22389780,22392349,2569
FBgn0038959,CG13856,3R,22402655,22405059,2404
FBgn0038960,CG13855,3R,22405939,22408640,2701
FBgn0038965,mats,3R,22421161,22423302,2141
FBgn0038964,Nop56,3R,22419095,22421068,1973
FBgn0038961,CG13850,3R,22408566,22410915,2349
FBgn0038958,CG13857,3R,22392189,22394104,1915
FBgn0038956,CAH8,3R,22386489,22389714,3225
FBgn0038951,Polr3F,3R,22366080,22367373,1293
FBgn0038948,JMJD6,3R,22360782,22362371,1589
FBgn0038943,CG5391,3R,22333088,22334150,1062
FBgn0038972,CG7054,3R,22464985,22465938,953
FBgn0038973,Pebp1,3R,22466034,22466679,645
FBgn0038975,Nrx-1,3R,22468512,22486969,18457
FBgn0038976,Pfdn5,3R,22487039,22488110,1071
FBgn0038978,tHMG1,3R,22491829,22492381,552
FBgn0038979,tHMG2,3R,22492953,22493746,793
FBgn0053110,CG33110,3R,22570188,22580392,10204
FBgn0028837,CSN6,3R,22580773,22582033,1260
FBgn0038989,CG6937,3R,22584773,22586209,1436
FBgn0051158,Efa6,3R,22587755,22608842,21087
FBgn0038993,CG13843,3R,22609485,22610715,1230
FBgn0051159,mRRF2,3R,22613686,22616622,2936
FBgn0051161,CG31161,3R,22616511,22618300,1789
FBgn0020278,loco,3R,22619968,22639387,19419
FBgn0051156,CG31156,3R,22608670,22613656,4986
FBgn0053107,CG33107,3R,22583352,22584718,1366
FBgn0024558,Dph5,3R,22582028,22583225,1197
FBgn0038986,sit,3R,22558342,22562572,4230
FBgn0038984,AdipoR,3R,22543693,22547846,4153
FBgn0038983,CG5326,3R,22532174,22539919,7745
FBgn0053099,CG33099,3R,22528920,22530572,1652
FBgn0038981,CG5346,3R,22520087,22528663,8576
FBgn0003676,CCT1,3R,22489105,22491439,2334
FBgn0038977,CG5376,3R,22488033,22488955,922
FBgn0038974,CG5377,3R,22466905,22468157,1252
FBgn0028688,Rpn7,3R,22460662,22462054,1392
FBgn0038968,CG12499,3R,22440152,22446587,6435
FBgn0038967,CG13847,3R,22425214,22436150,10936
FBgn0038966,pinta,3R,22423316,22424929,1613
FBgn0039002,CG17625,3R,22686849,22687407,558
FBgn0039004,Nup133,3R,22690607,22694772,4165
FBgn0039006,Cyp6d4,3R,22698319,22700307,1988
FBgn0039008,CG6972,3R,22702007,22704338,2331
FBgn0039017,CG6985,3R,22741150,22743081,1931
FBgn0039019,HP1c,3R,22745620,22746605,985
FBgn0039025,Usp12-46,3R,22750901,22776374,25473
FBgn0039026,CG7029,3R,22750901,22794030,43129
FBgn0039027,CG7031,3R,22804291,22807290,2999
FBgn0039028,CG13840,3R,22814483,22816178,1695
FBgn0040588,CG13841,3R,22766732,22767699,967
FBgn0039024,Nepl15,3R,22763960,22766172,2212
FBgn0039023,Nepl14,3R,22761440,22763711,2271
FBgn0039022,Nepl13,3R,22758810,22761076,2266
FBgn0039016,Dcr-1,3R,22734007,22741091,7084
FBgn0039015,Takl2,3R,22732356,22733851,1495
FBgn0039013,RNF220,3R,22724884,22726414,1530
FBgn0024958,Irp-1A,3R,22721320,22724587,3267
FBgn0051151,wge,3R,22710883,22721150,10267
FBgn0039010,CG4907,3R,22707786,22710762,2976
FBgn0039009,CG13842,3R,22704254,22707278,3024
FBgn0039007,CCAP,3R,22700582,22702084,1502
FBgn0039003,wfs1,3R,22687542,22690380,2838
FBgn0046114,Gclm,3R,22685006,22686510,1504
FBgn0017590,klg,3R,22899284,22961731,62447
FBgn0039030,CG6660,3R,22923352,22924525,1173
FBgn0051281,Tpl94D,3R,22966284,22967842,1558
FBgn0039031,Gbp3,3R,22977270,22978164,894
FBgn0039033,Or94a,3R,22987281,22988503,1222
FBgn0039038,CG6688,3R,23012412,23015475,3063
FBgn0027526,Ublcp1,3R,23061493,23062751,1258
FBgn0039049,CG6726,3R,23091724,23095184,3460
FBgn0039050,CG17110,3R,23091724,23095441,3717
FBgn0039051,CG17109,3R,23095690,23097240,1550
FBgn0039052,CG6733,3R,23097728,23099191,1463
FBgn0039054,Cow,3R,23070516,23112730,42214
FBgn0039048,CG17111,3R,23062713,23067259,4546
FBgn0053193,sav,3R,23058609,23061304,2695
FBgn0039045,Ctns,3R,23054410,23058958,4548
FBgn0039044,p53,3R,23049657,23054082,4425
FBgn0039043,CG17121,3R,23044664,23048214,3550
FBgn0039040,CG13833,3R,23033284,23035563,2279
FBgn0039039,lmd,3R,23021222,23026713,5491
FBgn0039056,CenB1A,3R,23118400,23124217,5817
FBgn0039066,EloA,3R,23251563,23255071,3508
FBgn0039068,Pex11c,3R,23258365,23260602,2237
FBgn0025781,Cdc16,3R,23281201,23284123,2922
FBgn0039069,CG6763,3R,23284002,23286041,2039
FBgn0039071,bb8,3R,23288217,23290189,1972
FBgn0039070,wam,3R,23286093,23288051,1958
FBgn0039067,wda,3R,23255070,23258087,3017
FBgn0039065,Rad60,3R,23249443,23251477,2034
FBgn0039064,CG4467,3R,23227727,23248903,21176
FBgn0011596,fzo,3R,23201644,23204034,2390
FBgn0039058,VhaAC39-2,3R,23158017,23159316,1299
FBgn0004395,unk,3R,23149653,23157862,8209
FBgn0051457,CG31457,3R,23126581,23127981,1400
FBgn0051365,CG31365,3R,23123962,23126422,2460
FBgn0039055,Rassf,3R,23114014,23117931,3917
FBgn0024509,Sec13,3R,23356278,23358531,2253
FBgn0002622,RpS3,3R,23358812,23360207,1395
FBgn0051225,Ir94f,3R,23481865,23483541,1676
FBgn0039088,CG10164,3R,23554323,23556943,2620
FBgn0039084,CG10175,3R,23522264,23530986,8722
FBgn0039083,CG10177,3R,23520146,23521583,1437
FBgn0039081,Irk2,3R,23513617,23519445,5828
FBgn0039078,CG4374,3R,23408684,23472278,63594
FBgn0039075,CG4393,3R,23375928,23384777,8849
FBgn0039073,CG4408,3R,23361889,23363574,1685
FBgn0016119,ATPsynCF6,3R,23355220,23356064,844
FBgn0039089,beat-IV,3R,23557412,23580077,22665
FBgn0039098,GILT3,3R,23677358,23678421,1063
FBgn0039099,GILT2,3R,23678895,23679855,960
FBgn0039101,CG16710,3R,23682503,23683980,1477
FBgn0042106,CG18754,3R,23684057,23686537,2480
FBgn0039102,SPE,3R,23686255,23688147,1892
FBgn0051148,Gba1a,3R,23700621,23702605,1984
FBgn0051414,Gba1b,3R,23704804,23708512,3708
FBgn0039109,CG10365,3R,23723331,23731499,8168
FBgn0028684,Rpt5,3R,23752876,23754623,1747
FBgn0039111,PTPMT1,3R,23758339,23759606,1267
FBgn0039112,SdhD,3R,23759483,23760600,1117
FBgn0028475,Hrd3,3R,23754623,23758557,3934
FBgn0039110,RanBP3,3R,23750937,23752834,1897
FBgn0028691,Rpn9,3R,23731375,23733462,2087
FBgn0039108,CG10232,3R,23719343,23721625,2282
FBgn0002922,nau,3R,23712814,23718357,5543
FBgn0047351,CG31468,3R,23699328,23700354,1026
FBgn0043005,prt,3R,23696372,23699027,2655
FBgn0039104,CG10252,3R,23695221,23696245,1024
FBgn0027512,CG10254,3R,23689007,23694983,5976
FBgn0051145,CG31145,3R,23605751,23669659,63908
FBgn0039094,CG10184,3R,23602507,23605495,2988
FBgn0039125,Ndc1,3R,23924399,23926436,2037
FBgn0047114,CG31142,3R,23929243,23929988,745
FBgn0039128,CG13599,3R,23931639,23932728,1089
FBgn0039130,CG5854,3R,23933912,23935964,2052
FBgn0039132,AP-1sigma,3R,23958651,23962555,3904
FBgn0051140,CG31140,3R,23963180,23983232,20052
FBgn0051451,lncRNA:mimi,3R,23983503,23985065,1562
FBgn0039136,CG5902,3R,23986642,23988738,2096
FBgn0015795,Rab7,3R,23993008,23995452,2444
FBgn0053108,CG33108,3R,23995659,23997544,1885
FBgn0051184,LSm3,3R,23996262,23997017,755
FBgn0020647,KrT95D,3R,23997538,24031827,34289
FBgn0039137,Epp,3R,23988806,23992916,4110
FBgn0039135,CG13603,3R,23985213,23986569,1356
FBgn0005674,GluProRS,3R,23952136,23958391,6255
FBgn0039131,CG12268,3R,23943628,23948424,4796
FBgn0039129,RpS19b,3R,23932729,23933530,801
FBgn0015282,Rpt2,3R,23929873,23931558,1685
FBgn0039126,CG13601,3R,23926372,23927634,1262
FBgn0016754,sba,3R,23894174,23922973,28799
FBgn0039124,tbrd-1,3R,23891597,23893560,1963
FBgn0013347,TfIIA-S,3R,23890388,23891060,672
FBgn0025574,Pli,3R,23860162,23890052,29890
FBgn0039139,Mettl3,3R,24032157,24034257,2100
FBgn0039141,spas,3R,24038215,24042982,4767
FBgn0043455,CG5986,3R,24047790,24049168,1378
FBgn0026576,Pisd,3R,24050783,24053592,2809
FBgn0039145,CG6000,3R,24054391,24055092,701
FBgn0040283,SMC1,3R,24058287,24062815,4528
FBgn0039149,CG18428,3R,24109336,24110010,674
FBgn0039152,Root,3R,24113286,24128193,14907
FBgn0026317,Tsc1,3R,24130307,24134654,4347
FBgn0039154,Npc2f,3R,24137895,24140936,3041
FBgn0039155,Kal1,3R,24141395,24147490,6095
FBgn0039156,CG6178,3R,24152347,24154896,2549
FBgn0039158,TBC1d7,3R,24161727,24163215,1488
FBgn0026598,Apc2,3R,24163966,24168264,4298
FBgn0039161,CG13606,3R,24172628,24184144,11516
FBgn0029503,mora,3R,24186359,24187785,1426
FBgn0039165,CG6204,3R,24193832,24196880,3048
FBgn0026257,cav,3R,24221103,24223528,2425
FBgn0039170,CG13609,3R,24227023,24228538,1515
FBgn0002863,Acp95EF,3R,24228975,24229279,304
FBgn0043884,mask,3R,24230562,24250248,19686
FBgn0039172,Spase22-23,3R,24228342,24230035,1693
FBgn0039169,Spps,3R,24223445,24226934,3489
FBgn0011725,twin,3R,24196893,24221965,25072
FBgn0039167,CG17786,3R,24214631,24218718,4087
FBgn0039163,CG5515,3R,24187724,24188896,1172
FBgn0039160,CG5510,3R,24167675,24169562,1887
FBgn0039159,mRpS24,3R,24162829,24163545,716
FBgn0015765,p38a,3R,24150416,24152321,1905
FBgn0051133,Slimp,3R,24147436,24148967,1531
FBgn0039153,GatB,3R,24128049,24130255,2206
FBgn0039151,CG13607,3R,24114043,24116322,2279
FBgn0039150,CG13605,3R,24109944,24112389,2445
FBgn0053100,eIF4EHP,3R,24063077,24108960,45883
FBgn0013343,Syx1A,3R,24101600,24105763,4163
FBgn0001230,Hsp68,3R,24055080,24057310,2230
FBgn0005649,Rox8,3R,24043056,24048265,5209
FBgn0039140,Miro,3R,24034362,24038847,4485
FBgn0051130,tRNA:Leu-TAA-4-1,3R,24265259,24265342,83
FBgn0019952,Orct,3R,24276260,24278792,2532
FBgn0039178,CG6356,3R,24283955,24288617,4662
FBgn0011785,BRWD3,3R,24319000,24328619,9619
FBgn0039183,Dis3,3R,24333433,24337248,3815
FBgn0039184,CG6432,3R,24336922,24340645,3723
FBgn0011581,Ms,3R,24341551,24343825,2274
FBgn0039187,CG6454,3R,24349182,24356241,7059
FBgn0053340,CG33340,3R,24363138,24364289,1151
FBgn0039200,CG13616,3R,24392889,24393762,873
FBgn0000036,nAChRalpha1,3R,24393896,24457157,63261
FBgn0039198,CG5768,3R,24386104,24390339,4235
FBgn0039195,CG17782,3R,24370751,24372762,2011
FBgn0039190,CG5762,3R,24360705,24361683,978
FBgn0039189,CG18528,3R,24358095,24360144,2049
FBgn0039188,Golgin84,3R,24356070,24357938,1868
FBgn0039186,CG5746,3R,24343895,24348791,4896
FBgn0039182,Rrp5,3R,24328455,24333316,4861
FBgn0028471,Nab2,3R,24314660,24318419,3759
FBgn0039175,beta-PheRS,3R,24250460,24252679,2219
FBgn0000039,nAChRalpha2,3R,24485428,24491147,5719
FBgn0039201,DZIP1,3R,24515278,24518128,2850
FBgn0003134,Pp1alpha-96A,3R,24518270,24522331,4061
FBgn0039203,Jhbp12,3R,24524794,24527533,2739
FBgn0039204,CG6607,3R,24528047,24529815,1768
FBgn0004188,snRNA:U6:96Aa,3R,24556088,24556194,106
FBgn0039213,atl,3R,24625671,24634714,9043
FBgn0000139,ash2,3R,24650125,24653376,3251
FBgn0051126,CG31126,3R,24659621,24660265,644
FBgn0020018,Ppox,3R,24660197,24661851,1654
FBgn0051125,CG31125,3R,24653371,24654820,1449
FBgn0039214,puf,3R,24635270,24650043,14773
FBgn0046685,Wsck,3R,24627066,24630075,3009
FBgn0039212,Syx18,3R,24623802,24625562,1760
FBgn0039210,CG13625,3R,24583067,24585160,2093
FBgn0039209,REPTOR,3R,24557368,24582864,25496
FBgn0039205,CG13623,3R,24529773,24530558,785
FBgn0039202,CG13622,3R,24522478,24523678,1200
FBgn0004118,nAChRbeta2,3R,24509228,24515106,5878
FBgn0039217,CG13627,3R,24712780,24717430,4650
FBgn0039218,Polr2L,3R,24717511,24717998,487
FBgn0004885,tok,3R,24719697,24749125,29428
FBgn0003719,tld,3R,24749731,24753510,3779
FBgn0000140,asp,3R,24753849,24760513,6664
FBgn0040600,CG13631,3R,24769351,24770933,1582
FBgn0039225,Ets96B,3R,24788054,24797955,9901
FBgn0039232,sosie,3R,24833952,24840488,6536
FBgn0013953,Esp,3R,24841935,24850412,8477
FBgn0039233,CG7006,3R,24850627,24851385,758
FBgn0039234,Nct,3R,24851601,24854869,3268
FBgn0039238,CG7016,3R,24862931,24864216,1285
FBgn0013949,Elal,3R,24865350,24867651,2301
FBgn0039241,CG11089,3R,24877045,24881478,4433
FBgn0043799,CG31381,3R,24877045,24878827,1782
FBgn0039244,CG11069,3R,24894742,24897613,2871
FBgn0039249,CG11168,3R,24918106,24922385,4279
FBgn0039250,Mink,3R,24922473,24925160,2687
FBgn0039251,Trf4-2,3R,24925216,24927085,1869
FBgn0040601,CG13643,3R,24897685,24906004,8319
FBgn0051121,CG31121,3R,24881466,24894605,13139
FBgn0039240,CG3744,3R,24871202,24876654,5452
FBgn0015625,CycB3,3R,24867934,24870816,2882
FBgn0039239,Srg1,3R,24864191,24864732,541
FBgn0039237,CG13640,3R,24861659,24862165,506
FBgn0051105,ppk22,3R,24857585,24859801,2216
FBgn0039235,CAH4,3R,24856383,24857559,1176
FBgn0051119,HDAC11,3R,24854496,24856243,1747
FBgn0051357,Kaz,3R,24828279,24829959,1680
FBgn0051118,RabX4,3R,24826665,24828409,1744
FBgn0045980,niki,3R,24822401,24825648,3247
FBgn0027617,CG5808,3R,24814903,24817007,2104
FBgn0027539,lili,3R,24805445,24814012,8567
FBgn0039227,polybromo,3R,24799967,24805259,5292
FBgn0039226,Ude,3R,24797460,24799668,2208
FBgn0039224,CG13634,3R,24788248,24790136,1888
FBgn0039223,CG5805,3R,24784552,24787421,2869
FBgn0015591,AstA,3R,24760530,24765071,4541
FBgn0039219,CG13630,3R,24717937,24719364,1427
FBgn0039252,CG11771,3R,24932010,24934919,2909
FBgn0039254,Nmnat,3R,24945237,24947400,2163
FBgn0039257,tnc,3R,24984384,25022867,38483
FBgn0039258,beta4GalT7,3R,25023256,25024482,1226
FBgn0015240,Hr96,3R,25025235,25029351,4116
FBgn0051115,CG31115,3R,25036944,25037982,1038
FBgn0045866,bai,3R,25039374,25040443,1069
FBgn0039265,CG11790,3R,25047706,25049455,1749
FBgn0039266,CG11791,3R,25049616,25053074,3458
FBgn0039270,PQBP1,3R,25065791,25066718,927
FBgn0039271,CG11839,3R,25069927,25070914,987
FBgn0039272,CG11836,3R,25071126,25072712,1586
FBgn0039274,CG11920,3R,25074877,25076382,1505
FBgn0004897,fd96Ca,3R,25082684,25084878,2194
FBgn0004898,fd96Cb,3R,25095012,25096099,1087
FBgn0046214,vig2,3R,25123373,25125619,2246
FBgn0039282,Bili,3R,25131306,25136709,5403
FBgn0039283,danr,3R,25138072,25139903,1831
FBgn0039280,Mocs2B,3R,25125632,25127359,1727
FBgn0051510,CG31510,3R,25117218,25122920,5702
FBgn0039277,Nepl16,3R,25109226,25112516,3290
FBgn0039273,shams,3R,25072729,25074607,1878
FBgn0011336,Stt3B,3R,25066712,25069637,2925
FBgn0039269,veli,3R,25064418,25065591,1173
FBgn0051111,CG31111,3R,25055076,25056177,1101
FBgn0051109,CG31109,3R,25053369,25054653,1284
FBgn0039261,Ythdf,3R,25033876,25039249,5373
FBgn0039260,Smg6,3R,25029429,25033465,4036
FBgn0039259,EMC6,3R,25024473,25025017,544
FBgn0029157,ssh,3R,24938710,24944956,6246
FBgn0020626,Osbp,3R,24934869,24938222,3353
FBgn0051108,TTLL5,3R,25112867,25122920,10053
FBgn0039286,dan,3R,25184383,25192806,8423
FBgn0039290,CG13654,3R,25199818,25214255,14437
FBgn0051106,CG31106,3R,25216297,25218708,2411
FBgn0051103,CG31103,3R,25219318,25221444,2126
FBgn0039293,Alg9,3R,25221589,25224118,2529
FBgn0039297,Jhbp7,3R,25237614,25238895,1281
FBgn0039298,to,3R,25240180,25241668,1488
FBgn0039299,CG11854,3R,25242020,25243262,1242
FBgn0039301,Nup37,3R,25247658,25249100,1442
FBgn0039302,Nup358,3R,25249348,25258672,9324
FBgn0039303,CG11857,3R,25258898,25260759,1861
FBgn0039305,CG11858,3R,25262741,25263292,551
FBgn0039306,RIOK2,3R,25265844,25267757,1913
FBgn0039307,CR13656,3R,25268661,25269965,1304
FBgn0039310,CG11878,3R,25273837,25275237,1400
FBgn0051300,CG31300,3R,25283620,25285224,1604
FBgn0051104,CG31104,3R,25285473,25286974,1501
FBgn0039315,CG13658,3R,25287474,25288930,1456
FBgn0039316,CG11893,3R,25289889,25291366,1477
FBgn0039319,CG13659,3R,25300891,25302317,1426
FBgn0051370,CG31370,3R,25302464,25303986,1522
FBgn0051436,CG31436,3R,25304137,25305651,1514
FBgn0028647,CG11902,3R,25335257,25340088,4831
FBgn0027376,rha,3R,25340252,25344838,4586
FBgn0039335,Vps33B,3R,25473490,25475756,2266
FBgn0039337,MED28,3R,25477003,25477745,742
FBgn0039338,XNP,3R,25477868,25482834,4966
FBgn0039336,CG4553,3R,25475636,25476915,1279
FBgn0039329,CG10669,3R,25331363,25335243,3880
FBgn0039328,CHKov2,3R,25329530,25331203,1673
FBgn0045761,CHKov1,3R,25323156,25329316,6160
FBgn0039326,CG10562,3R,25321053,25322757,1704
FBgn0039325,CG10560,3R,25318550,25320101,1551
FBgn0039324,CG10553,3R,25316461,25318111,1650
FBgn0039323,CG10559,3R,25314494,25316116,1622
FBgn0039321,CG10550,3R,25306407,25308391,1984
FBgn0051288,CG31288,3R,25297960,25299557,1597
FBgn0051097,CG31097,3R,25296128,25297778,1650
FBgn0051102,CG31102,3R,25293458,25295594,2136
FBgn0051098,CG31098,3R,25291370,25292977,1607
FBgn0039312,CG10514,3R,25278427,25279846,1419
FBgn0039311,CG10513,3R,25275790,25277212,1422
FBgn0027090,GlnRS,3R,25263267,25265721,2454
FBgn0039304,Kdsr,3R,25260963,25262498,1535
FBgn0039300,RpS27,3R,25245955,25247514,1559
FBgn0039296,Sil1,3R,25233636,25235529,1893
FBgn0039294,Cad96Cb,3R,25224156,25232321,8165
FBgn0039291,Saysd1,3R,25214325,25215188,863
FBgn0022800,Cad96Ca,3R,25197571,25208283,10712
FBgn0039339,CG5116,3R,25483098,25485855,2757
FBgn0039341,CG5112,3R,25491460,25493262,1802
FBgn0039342,CG5107,3R,25505191,25505931,740
FBgn0039343,CG5111,3R,25506275,25508279,2004
FBgn0011666,msi,3R,25516118,25608423,92305
FBgn0039346,CG5079,3R,25613666,25614451,785
FBgn0039347,CG5071,3R,25618414,25621838,3424
FBgn0039350,jigr1,3R,25637843,25651874,14031
FBgn0027508,Tnks,3R,25653091,25661286,8195
FBgn0039344,CG4582,3R,25581223,25583179,1956
FBgn0040212,Gnpat,3R,25485618,25490936,5318
FBgn0039354,Lgr3,3R,25665809,25677214,11405
FBgn0039356,CG5039,3R,25678683,25679529,846
FBgn0039358,Idh3g,3R,25680845,25683780,2935
FBgn0039376,CG14354,3R,25815479,25816574,1095
FBgn0039379,CG5886,3R,25851632,25853989,2357
FBgn0039380,CG5890,3R,25856154,25872670,16516
FBgn0039381,SppL,3R,25881984,25888230,6246
FBgn0027865,Tsp96F,3R,25872900,25881427,8527
FBgn0011668,Mst57Da,3R,25831575,25831899,324
FBgn0051380,CG31380,3R,25787997,25789455,1458
